city                          : boston
simulation_num                : 5000000
test_simulation_num           : 1000
total_trajectories            : 1
capacity_scale                : 10
weight_quantization_scale     : None
max_connection                : 3
train_data_dir                : ./data/
test_data_dir                 : ./data_test/
use_given_data                : True
batch_size                    : 256
test_size                     : 500
path_num                      : 1
block_size                    : 51
observe_ratio                 : 0.2
special_mask_value            : 0.0001
n_embd                        : 64
n_head                        : 16
n_layer                       : 8
dropout                       : 0.0
use_adj_table                 : True
max_iters                     : 100000
learning_rate                 : 0.1
lr_drop_rate                  : 0.5
eval_freq                     : 100
save_freq                     : 5
device                        : cuda:2
load_dir                      : ./checkpoints_mae/
load_dir_id                   : 0
data num: 5000000
Encoded trajectory loaded, time: 171.75842690467834
data num: 1000
Encoded trajectory loaded, time: 0.24184250831604004
Data loaded in 314.04647517204285 seconds
Model loaded in 0.307483434677124 seconds
start training from iteration 0
Iteration 1000      |  Loss: 3.59461927  |  Acc: 74.15%   |  Test Loss: 3.61329436  |  Test Acc: 29.96%   |  Real True Rate: 0.20%    |
Iteration 2000      |  Loss: 4.48745298  |  Acc: 73.75%   |  Test Loss: 4.43742323  |  Test Acc: 18.49%   |  Real True Rate: 0.00%    |
Iteration 3000      |  Loss: 3.68918228  |  Acc: 77.14%   |  Test Loss: 3.66864896  |  Test Acc: 29.89%   |  Real True Rate: 0.40%    |
Iteration 4000      |  Loss: 3.56799150  |  Acc: 76.71%   |  Test Loss: 3.63353467  |  Test Acc: 30.06%   |  Real True Rate: 0.00%    |
Iteration 5000      |  Loss: 3.70837617  |  Acc: 74.78%   |  Test Loss: 3.59337783  |  Test Acc: 30.05%   |  Real True Rate: 0.00%    |
Iteration 6000      |  Loss: 3.37356257  |  Acc: 71.34%   |  Test Loss: 3.30429339  |  Test Acc: 31.50%   |  Real True Rate: 0.00%    |
Iteration 7000      |  Loss: 3.35736990  |  Acc: 75.62%   |  Test Loss: 3.07126617  |  Test Acc: 32.22%   |  Real True Rate: 0.00%    |
Iteration 8000      |  Loss: 2.73342586  |  Acc: 78.41%   |  Test Loss: 2.90045619  |  Test Acc: 33.04%   |  Real True Rate: 0.00%    |
Iteration 9000      |  Loss: 2.58925200  |  Acc: 77.26%   |  Test Loss: 2.81637216  |  Test Acc: 33.23%   |  Real True Rate: 0.00%    |
Iteration 10000     |  Loss: 2.49374199  |  Acc: 75.56%   |  Test Loss: 2.73396063  |  Test Acc: 34.56%   |  Real True Rate: 0.00%    |
Iteration 11000     |  Loss: 2.45720458  |  Acc: 73.34%   |  Test Loss: 2.42069292  |  Test Acc: 36.80%   |  Real True Rate: 0.20%    |
Iteration 12000     |  Loss: 2.23377800  |  Acc: 69.98%   |  Test Loss: 2.32763648  |  Test Acc: 39.28%   |  Real True Rate: 0.00%    |
Iteration 13000     |  Loss: 2.19773054  |  Acc: 67.80%   |  Test Loss: 2.15552568  |  Test Acc: 42.45%   |  Real True Rate: 0.00%    |
Iteration 14000     |  Loss: 2.03238392  |  Acc: 69.67%   |  Test Loss: 2.01058030  |  Test Acc: 45.01%   |  Real True Rate: 0.00%    |
Iteration 15000     |  Loss: 1.99800110  |  Acc: 72.57%   |  Test Loss: 2.07081962  |  Test Acc: 43.97%   |  Real True Rate: 0.00%    |
Iteration 16000     |  Loss: 1.88743615  |  Acc: 68.32%   |  Test Loss: 1.87362444  |  Test Acc: 49.10%   |  Real True Rate: 0.00%    |
Iteration 17000     |  Loss: 1.94771218  |  Acc: 68.87%   |  Test Loss: 2.06495166  |  Test Acc: 44.68%   |  Real True Rate: 0.00%    |
